region,category,parameter,mode,powertrain,year,unit,value
USA,Projection-APS,EV sales,Cars,FCEV,2030,Vehicles,8600
USA,Projection-APS,EV sales,Cars,PHEV,2030,Vehicles,1400000
USA,Projection-APS,EV stock,Cars,BEV,2030,Vehicles,35000000
USA,Projection-APS,EV stock,Cars,FCEV,2030,Vehicles,56000
USA,Projection-APS,EV stock,Cars,PHEV,2030,Vehicles,7200000
USA,Projection-APS,EV sales,Cars,BEV,2035,Vehicles,9500000
USA,Projection-APS,EV sales,Cars,FCEV,2035,Vehicles,21000
USA,Projection-APS,EV sales,Cars,PHEV,2035,Vehicles,1600000
USA,Projection-APS,EV stock share,Cars,EV,2035,percent,36
USA,Projection-APS,EV sales share,Cars,EV,2035,percent,71
USA,Projection-APS,Oil displacement Mbd,Cars,EV,2035,Milion barrels per day,2
USA,Projection-APS,"Oil displacement, million lge",Cars,EV,2035,"Oil displacement, million lge",120000
USA,Projection-APS,EV stock,Cars,BEV,2035,Vehicles,76000000
USA,Projection-APS,EV stock,Cars,FCEV,2035,Vehicles,130000
USA,Projection-APS,EV stock,Cars,PHEV,2035,Vehicles,14000000
USA,Projection-APS,Electricity demand,Cars,EV,2035,GWh,480000
World,Projection-APS,Electricity demand,Cars,EV,2020,GWh,21000
World,Projection-APS,Oil displacement Mbd,Cars,EV,2020,Milion barrels per day,0.14000000059604645
World,Projection-APS,"Oil displacement, million lge",Cars,EV,2020,"Oil displacement, million lge",8000
World,Projection-APS,EV sales share,Cars,EV,2020,percent,4.199999809265137
World,Projection-APS,EV stock share,Cars,EV,2020,percent,0.8399999737739563
World,Projection-APS,EV stock,Cars,PHEV,2020,Vehicles,3400000
World,Projection-APS,EV sales,Cars,BEV,2020,Vehicles,2000000
World,Projection-APS,EV stock,Cars,BEV,2020,Vehicles,6800000
World,Projection-APS,EV sales,Cars,FCEV,2020,Vehicles,7400
World,Projection-APS,EV stock,Cars,FCEV,2020,Vehicles,26000
World,Projection-APS,EV sales,Cars,PHEV,2020,Vehicles,980000
World,Projection-APS,EV sales,Cars,PHEV,2021,Vehicles,1900000
World,Projection-APS,EV stock,Cars,FCEV,2021,Vehicles,42000
World,Projection-APS,EV sales,Cars,FCEV,2021,Vehicles,16000
World,Projection-APS,EV stock,Cars,BEV,2021,Vehicles,11000000
World,Projection-APS,EV sales,Cars,BEV,2021,Vehicles,4700000
World,Projection-APS,EV stock,Cars,PHEV,2021,Vehicles,5300000
World,Projection-APS,EV stock share,Cars,EV,2021,percent,1.2999999523162842
World,Projection-APS,EV sales share,Cars,EV,2021,percent,8.899999618530273
World,Projection-APS,Oil displacement Mbd,Cars,EV,2021,Milion barrels per day,0.25
World,Projection-APS,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",14000
World,Projection-APS,Electricity demand,Cars,EV,2021,GWh,35000
World,Projection-APS,Electricity demand,Cars,EV,2022,GWh,44000
World,Projection-APS,Oil displacement Mbd,Cars,EV,2022,Milion barrels per day,0.4000000059604645
World,Projection-APS,"Oil displacement, million lge",Cars,EV,2022,"Oil displacement, million lge",24000
World,Projection-APS,EV sales share,Cars,EV,2022,percent,14
World,Projection-APS,EV stock share,Cars,EV,2022,percent,2.0999999046325684
World,Projection-APS,EV stock,Cars,PHEV,2022,Vehicles,8000000
World,Projection-APS,EV sales,Cars,BEV,2022,Vehicles,7300000
World,Projection-APS,EV stock,Cars,BEV,2022,Vehicles,18000000
World,Projection-APS,EV sales,Cars,FCEV,2022,Vehicles,15000
World,Projection-APS,EV stock,Cars,FCEV,2022,Vehicles,57000
World,Projection-APS,EV sales,Cars,PHEV,2022,Vehicles,2900000
World,Projection-APS,EV sales,Cars,PHEV,2023,Vehicles,4300000
World,Projection-APS,EV stock,Cars,FCEV,2023,Vehicles,66000
World,Projection-APS,EV sales,Cars,FCEV,2023,Vehicles,8900
World,Projection-APS,EV stock,Cars,BEV,2023,Vehicles,28000000
World,Projection-APS,EV sales,Cars,BEV,2023,Vehicles,9500000
World,Projection-APS,EV stock,Cars,PHEV,2023,Vehicles,12000000
World,Projection-APS,EV stock share,Cars,EV,2023,percent,3.200000047683716
World,Projection-APS,EV sales share,Cars,EV,2023,percent,18
World,Projection-APS,Oil displacement Mbd,Cars,EV,2023,Milion barrels per day,0.7099999785423279
World,Projection-APS,"Oil displacement, million lge",Cars,EV,2023,"Oil displacement, million lge",42000
World,Projection-APS,Electricity demand,Cars,EV,2023,GWh,97000
World,Projection-APS,Electricity demand,Cars,EV,2025,GWh,220000
World,Projection-APS,EV sales,Cars,BEV,2025,Vehicles,17000000
World,Projection-APS,EV sales,Cars,FCEV,2025,Vehicles,110000
World,Projection-APS,EV sales,Cars,PHEV,2025,Vehicles,4700000
World,Projection-APS,EV stock,Cars,BEV,2025,Vehicles,56000000
World,Projection-APS,EV stock,Cars,FCEV,2025,Vehicles,170000
World,Projection-APS,EV stock,Cars,PHEV,2025,Vehicles,22000000
World,Projection-APS,Oil displacement Mbd,Cars,EV,2025,Milion barrels per day,1.399999976158142
World,Projection-APS,"Oil displacement, million lge",Cars,EV,2025,"Oil displacement, million lge",82000
World,Projection-APS,EV sales share,Cars,EV,2025,percent,26
World,Projection-APS,EV stock share,Cars,EV,2025,percent,6
World,Projection-APS,EV stock share,Cars,EV,2030,percent,17
World,Projection-APS,EV sales share,Cars,EV,2030,percent,48
World,Projection-APS,Oil displacement Mbd,Cars,EV,2030,Milion barrels per day,4.099999904632568
World,Projection-APS,"Oil displacement, million lge",Cars,EV,2030,"Oil displacement, million lge",240000
World,Projection-APS,EV sales,Cars,BEV,2030,Vehicles,37000000
World,Projection-APS,EV sales,Cars,FCEV,2030,Vehicles,320000
World,Projection-APS,EV sales,Cars,PHEV,2030,Vehicles,7100000
World,Projection-APS,EV stock,Cars,BEV,2030,Vehicles,190000000
World,Projection-APS,EV stock,Cars,FCEV,2030,Vehicles,1200000
World,Projection-APS,EV stock,Cars,PHEV,2030,Vehicles,51000000
World,Projection-APS,Electricity demand,Cars,EV,2030,GWh,790000
World,Projection-APS,Electricity demand,Cars,EV,2035,GWh,1600000
World,Projection-APS,EV stock,Cars,BEV,2035,Vehicles,440000000
World,Projection-APS,EV stock,Cars,FCEV,2035,Vehicles,4300000
World,Projection-APS,EV stock,Cars,PHEV,2035,Vehicles,82000000
World,Projection-APS,EV sales,Cars,BEV,2035,Vehicles,62000000
World,Projection-APS,EV sales,Cars,FCEV,2035,Vehicles,890000
World,Projection-APS,EV sales,Cars,PHEV,2035,Vehicles,5500000
World,Projection-APS,Oil displacement Mbd,Cars,EV,2035,Milion barrels per day,7.699999809265137
World,Projection-APS,"Oil displacement, million lge",Cars,EV,2035,"Oil displacement, million lge",450000
World,Projection-APS,EV sales share,Cars,EV,2035,percent,68
World,Projection-APS,EV stock share,Cars,EV,2035,percent,34
