region,year,value
Netherlands,2019,47300.0
Netherlands,2020,65100.0
Netherlands,2021,83600.0
Netherlands,2022,124300.0
Netherlands,2023,145800.0
New Zealand,2017,100.0
New Zealand,2018,289.0
New Zealand,2019,390.0
New Zealand,2020,460.0
New Zealand,2021,600.0
New Zealand,2022,680.0
New Zealand,2023,1140.0
Norway,2010,2800.0
Norway,2011,3118.0
Norway,2012,3758.0
Norway,2013,4596.0
Norway,2014,5310.0
Norway,2015,5530.0
Norway,2016,7500.0
Norway,2017,9220.0
Norway,2018,10500.0
Norway,2019,14000.0
Norway,2020,17300.0
Norway,2021,19700.0
Norway,2022,24100.0
Norway,2023,27000.0
Poland,2014,124.0
Poland,2015,298.0
Poland,2016,322.0
Poland,2017,520.0
Poland,2018,770.0
Poland,2019,840.0
Poland,2020,1680.0
Poland,2021,3700.0
Poland,2022,5100.0
Poland,2023,5900.0
Portugal,2011,1106.0
Portugal,2012,1107.0
Portugal,2013,1217.0
Portugal,2014,1217.0
Portugal,2015,1222.0
Portugal,2016,1341.0
Portugal,2017,1650.0
Portugal,2018,1780.0
Portugal,2019,1960.0
Portugal,2020,2850.0
Portugal,2021,4200.0
Portugal,2022,5600.0
Portugal,2023,9400.0
South Africa,2017,124.0
South Africa,2018,241.0
South Africa,2019,240.0
South Africa,2020,300.0
South Africa,2021,300.0
South Africa,2022,300.0
South Africa,2023,300.0
Spain,2012,400.0
Spain,2013,891.0
Spain,2014,910.0
Spain,2015,1640.0
Spain,2016,3530.0
Spain,2017,4900.0
Spain,2018,5020.0
Spain,2019,5500.0
Spain,2020,8100.0
Spain,2021,8200.0
Spain,2022,12200.0
Spain,2023,25600.0
Sweden,2013,5.0
Sweden,2014,1000.0
Sweden,2015,1100.0
Sweden,2016,1700.0
Sweden,2017,4190.0
Sweden,2018,6500.0
Sweden,2019,9000.0
Sweden,2020,11200.0
Sweden,2021,13700.0
Sweden,2022,17600.0
Sweden,2023,34500.0
Switzerland,2012,404.0
Switzerland,2013,627.0
Switzerland,2014,1399.0
Switzerland,2015,3660.0
Switzerland,2016,3850.0
Switzerland,2017,4080.0
Switzerland,2018,5140.0
Switzerland,2019,6320.0
Switzerland,2020,7700.0
Switzerland,2021,10100.0
Switzerland,2022,12200.0
Switzerland,2023,15800.0
Thailand,2017,96.0
Thailand,2018,96.0
Thailand,2019,819.0
Thailand,2020,1910.0
Thailand,2021,2270.0
Thailand,2022,2270.0
Thailand,2023,2270.0
Turkiye,2013,1.0
Turkiye,2014,1.0
Turkiye,2015,7.0
Turkiye,2016,18.0
Turkiye,2017,76.0
Turkiye,2018,76.0
Turkiye,2019,180.0
Turkiye,2020,1320.0
Turkiye,2021,1980.0
Turkiye,2022,1980.0
Turkiye,2023,7800.0
USA,2010,480.0
USA,2011,3900.0
USA,2012,12000.0
USA,2013,15000.0
USA,2014,20000.0
USA,2015,31500.0
USA,2016,38100.0
USA,2017,43400.0
USA,2018,54200.0
USA,2019,77000.0
USA,2020,99000.0
USA,2021,114000.0
USA,2022,128000.0
USA,2023,183000.0
United Kingdom,2011,1500.0
United Kingdom,2012,2836.0
United Kingdom,2013,5660.0
United Kingdom,2014,7720.0
United Kingdom,2015,9300.0
United Kingdom,2016,12800.0
United Kingdom,2017,15200.0
United Kingdom,2018,17700.0
United Kingdom,2019,16800.0
United Kingdom,2020,20900.0
United Kingdom,2021,28200.0
United Kingdom,2022,36900.0
United Kingdom,2023,53000.0
World,2010,4010.0
World,2011,10830.0
World,2012,29500.0
World,2013,43600.0
World,2014,102000.0
World,2015,175000.0
World,2016,312000.0
World,2017,420000.0
World,2018,530000.0
World,2019,860000.0
World,2020,1250000.0
World,2021,1760000.0
World,2022,2700000.0
World,2023,3900000.0
